"word{s-19494, h-50453}",in_s,in_h,prob_s,prob_h
nurungu,1,3,5.129783523135324e-05,5.946128079598835e-05
vettam,1,3,5.129783523135324e-05,5.946128079598835e-05
',8,37,0.0004103826818508259,0.0007333557964838563
set,2,19,0.00010259567046270647,0.0003765881117079262
callertune,1,10,5.129783523135324e-05,0.00019820426931996116
caller,13,6,0.000666871858007592,0.0001189225615919767
press,4,10,0.00020519134092541295,0.00019820426931996116
*,116,196,0.005950548886836975,0.0038848036786712386
9,1,11,5.129783523135324e-05,0.00021802469625195728
copy,1,10,5.129783523135324e-05,0.00019820426931996116
friend,17,89,0.000872063198933005,0.0017640179969476543
winner,16,1,0.0008207653637016518,1.9820426931996114e-05
valued,11,3,0.0005642761875448856,5.946128079598835e-05
network,28,5,0.0014363393864778907,9.910213465998058e-05
customer,51,10,0.0026161895967990153,0.00019820426931996116
selected,25,5,0.001282445880783831,9.910213465998058e-05
receivea,2,1,0.00010259567046270647,1.9820426931996114e-05
£900,7,1,0.0003590848466194727,1.9820426931996114e-05
prize,92,1,0.004719400841284498,1.9820426931996114e-05
reward,10,1,0.0005129783523135324,1.9820426931996114e-05
claim,113,1,0.005796655381142915,1.9820426931996114e-05
call,355,248,0.018210731507130398,0.004915465879135036
09061701461.,2,1,0.00010259567046270647,1.9820426931996114e-05
code,29,2,0.0014876372217092438,3.964085386399223e-05
kl341,2,1,0.00010259567046270647,1.9820426931996114e-05
valid,23,1,0.0011798502103211245,1.9820426931996114e-05
hour,5,47,0.0002564891761567662,0.0009315600658038174
mobile,135,16,0.006925207756232687,0.0003171268309119378
month,6,38,0.0003077870113881194,0.0007531762234158524
r,30,143,0.0015389350569405972,0.0028343210512754443
entitled,8,1,0.0004103826818508259,1.9820426931996114e-05
update,19,6,0.0009746588693957114,0.0001189225615919767
latest,37,4,0.0018980199035600698,7.928170772798445e-05
colour,18,6,0.0009233610341643582,0.0001189225615919767
camera,33,4,0.001692828562634657,7.928170772798445e-05
co,5,77,0.0002564891761567662,0.0015261728737637008
'm,9,387,0.0004616805170821791,0.007670505222682497
gon,1,59,5.129783523135324e-05,0.0011694051889877708
na,11,96,0.0005642761875448856,0.0019027609854716271
home,3,161,0.0001538935056940597,0.0031910887360513747
soon,4,56,0.00020519134092541295,0.0011099439081917824
want,32,184,0.0016415307274033036,0.003646958555487285
talk,6,42,0.0003077870113881194,0.0008324579311438368
stuff,2,44,0.00010259567046270647,0.0008720987850078291
anymore,1,8,5.129783523135324e-05,0.0001585634154559689
tonight,5,58,0.0002564891761567662,0.0011495847620557748
k,3,111,0.0001538935056940597,0.0022000673894515686
've,11,81,0.0005642761875448856,0.0016054545814916854
cried,1,1,5.129783523135324e-05,1.9820426931996114e-05
enough,3,27,0.0001538935056940597,0.0005351515271638951
today,39,136,0.0020006155740227762,0.0026955780627514717
six,3,2,0.0001538935056940597,3.964085386399223e-05
chance,29,13,0.0014876372217092438,0.0002576655501159495
cash,62,13,0.0031804657843439005,0.0002576655501159495
pound,23,5,0.0011798502103211245,9.910213465998058e-05
>,30,2,0.0015389350569405972,3.964085386399223e-05
csh11,2,1,0.00010259567046270647,1.9820426931996114e-05
87575.,2,1,0.00010259567046270647,1.9820426931996114e-05
cost,26,13,0.001333743716015184,0.0002576655501159495
150p/day,2,1,0.00010259567046270647,1.9820426931996114e-05
6days,2,1,0.00010259567046270647,1.9820426931996114e-05
16+,25,1,0.001282445880783831,1.9820426931996114e-05
tsandcs,2,1,0.00010259567046270647,1.9820426931996114e-05
reply,105,43,0.00538627269929209,0.0008522783580758329
hl,6,1,0.0003077870113881194,1.9820426931996114e-05
info,14,3,0.0007181696932389454,5.946128079598835e-05
urgent,62,4,0.0031804657843439005,7.928170772798445e-05
membership,2,2,0.00010259567046270647,3.964085386399223e-05
"£100,000",2,1,0.00010259567046270647,1.9820426931996114e-05
jackpot,2,1,0.00010259567046270647,1.9820426931996114e-05
:,163,560,0.008361547142710578,0.011099439081917824
www.dbuk.net,2,1,0.00010259567046270647,1.9820426931996114e-05
lccltd,2,1,0.00010259567046270647,1.9820426931996114e-05
pobox,16,1,0.0008207653637016518,1.9820426931996114e-05
4403ldnw1a7rw18,2,1,0.00010259567046270647,1.9820426931996114e-05
searching,1,5,5.129783523135324e-05,9.910213465998058e-05
right,4,91,0.00020519134092541295,0.0018036588508116465
thank,2,27,0.00010259567046270647,0.0005351515271638951
breather,1,1,5.129783523135324e-05,1.9820426931996114e-05
promise,1,12,5.129783523135324e-05,0.0002378451231839534
wont,1,34,5.129783523135324e-05,0.0006738945156878679
take,19,133,0.0009746588693957114,0.0026361167819554834
help,16,37,0.0008207653637016518,0.0007333557964838563
granted,1,1,5.129783523135324e-05,1.9820426931996114e-05
fulfil,1,1,5.129783523135324e-05,1.9820426931996114e-05
wonderful,1,16,5.129783523135324e-05,0.0003171268309119378
blessing,1,5,5.129783523135324e-05,9.910213465998058e-05
time,20,223,0.0010259567046270648,0.004419955205835133
date,12,13,0.0006155740227762388,0.0002576655501159495
sunday,1,11,5.129783523135324e-05,0.00021802469625195728
xxxmobilemovieclub,1,1,5.129783523135324e-05,1.9820426931996114e-05
use,9,41,0.0004616805170821791,0.0008126375042118407
credit,18,6,0.0009233610341643582,0.0001189225615919767
click,5,3,0.0002564891761567662,5.946128079598835e-05
wap,10,1,0.0005129783523135324,1.9820426931996114e-05
link,6,6,0.0003077870113881194,0.0001189225615919767
next,16,47,0.0008207653637016518,0.0009315600658038174
message,43,73,0.002205806914948189,0.0014468911660357165
http,19,1,0.0009746588693957114,1.9820426931996114e-05
//wap,1,1,5.129783523135324e-05,1.9820426931996114e-05
xxxmobilemovieclub.com,1,1,5.129783523135324e-05,1.9820426931996114e-05
n=qjkgighjjgcbl,1,1,5.129783523135324e-05,1.9820426931996114e-05
oh,2,114,0.00010259567046270647,0.0022595286702475573
watching,1,34,5.129783523135324e-05,0.0006738945156878679
eh,1,12,5.129783523135324e-05,0.0002378451231839534
remember,1,32,5.129783523135324e-05,0.0006342536618238756
spell,1,3,5.129783523135324e-05,5.946128079598835e-05
name,16,37,0.0008207653637016518,0.0007333557964838563
yes,16,79,0.0008207653637016518,0.001565813727627693
v,6,43,0.0003077870113881194,0.0008522783580758329
naughty,1,6,5.129783523135324e-05,0.0001189225615919767
make,14,111,0.0007181696932389454,0.0022000673894515686
wet,3,3,0.0001538935056940597,5.946128079598835e-05
fine,1,49,5.129783523135324e-05,0.0009712009196678097
thats,1,5,5.129783523135324e-05,9.910213465998058e-05
way,2,101,0.00010259567046270647,0.0020018631201316078
feel,1,73,5.129783523135324e-05,0.0014468911660357165
gota,1,1,5.129783523135324e-05,1.9820426931996114e-05
b,11,56,0.0005642761875448856,0.0011099439081917824
england,9,2,0.0004616805170821791,3.964085386399223e-05
macedonia,1,1,5.129783523135324e-05,1.9820426931996114e-05
-,54,178,0.002770083102493075,0.0035280359938953086
dont,11,134,0.0005642761875448856,0.0026559372088874795
miss,7,74,0.0003590848466194727,0.0014667115929677126
goals/team,1,1,5.129783523135324e-05,1.9820426931996114e-05
news,10,9,0.0005129783523135324,0.00017838384238796505
ur,144,248,0.007386888273314866,0.004915465879135036
national,12,1,0.0006155740227762388,1.9820426931996114e-05
team,3,5,0.0001538935056940597,9.910213465998058e-05
eg,11,1,0.0005642761875448856,1.9820426931996114e-05
try,7,46,0.0003590848466194727,0.0009117396388718213
wale,1,3,5.129783523135324e-05,5.946128079598835e-05
scotland,1,3,5.129783523135324e-05,5.946128079598835e-05
4txt/ú1.20,1,1,5.129783523135324e-05,1.9820426931996114e-05
poboxox36504w45wq,1,1,5.129783523135324e-05,1.9820426931996114e-05
seriously,1,9,5.129783523135324e-05,0.00017838384238796505
‘,1,37,5.129783523135324e-05,0.0007333557964838563
going,5,169,0.0002564891761567662,0.0033496521515073434
ha,1,16,5.129783523135324e-05,0.0003171268309119378
ü,1,173,5.129783523135324e-05,0.0034289338592353277
pay,2,31,0.00010259567046270647,0.0006144332348918796
first,7,56,0.0003590848466194727,0.0011099439081917824
da,1,150,5.129783523135324e-05,0.0029730640397994173
stock,1,5,5.129783523135324e-05,9.910213465998058e-05
comin,1,11,5.129783523135324e-05,0.00021802469625195728
aft,1,19,5.129783523135324e-05,0.0003765881117079262
finish,1,45,5.129783523135324e-05,0.0008919192119398252
lunch,1,46,5.129783523135324e-05,0.0009117396388718213
str,2,3,0.00010259567046270647,5.946128079598835e-05
lor,1,162,5.129783523135324e-05,0.003210909162983371
ard,1,22,5.129783523135324e-05,0.00043604939250391456
smth,1,16,5.129783523135324e-05,0.0003171268309119378
ffffffffff,1,1,5.129783523135324e-05,1.9820426931996114e-05
alright,1,23,5.129783523135324e-05,0.00045586981943591064
meet,7,76,0.0003590848466194727,0.0015063524468317047
sooner,1,4,5.129783523135324e-05,7.928170772798445e-05
forced,1,1,5.129783523135324e-05,1.9820426931996114e-05
eat,1,38,5.129783523135324e-05,0.0007531762234158524
slice,1,3,5.129783523135324e-05,5.946128079598835e-05
really,2,85,0.00010259567046270647,0.0016847362892196697
hungry,3,12,0.0001538935056940597,0.0002378451231839534
tho,1,16,5.129783523135324e-05,0.0003171268309119378
suck,1,7,5.129783523135324e-05,0.0001387429885239728
mark,1,8,5.129783523135324e-05,0.0001585634154559689
getting,5,46,0.0002564891761567662,0.0009117396388718213
worried,1,10,5.129783523135324e-05,0.00019820426931996116
know,27,246,0.0013850415512465374,0.004875825025271044
sick,1,9,5.129783523135324e-05,0.00017838384238796505
turn,2,9,0.00010259567046270647,0.00017838384238796505
pizza,1,8,5.129783523135324e-05,0.0001585634154559689
lol,1,74,5.129783523135324e-05,0.0014667115929677126
always,1,58,5.129783523135324e-05,0.0011495847620557748
convincing,1,2,5.129783523135324e-05,3.964085386399223e-05
catch,1,10,5.129783523135324e-05,0.00019820426931996116
bus,1,31,5.129783523135324e-05,0.0006144332348918796
frying,1,3,5.129783523135324e-05,5.946128079598835e-05
egg,1,6,5.129783523135324e-05,0.0001189225615919767
tea,1,6,5.129783523135324e-05,0.0001189225615919767
eating,1,7,5.129783523135324e-05,0.0001387429885239728
mom,1,21,5.129783523135324e-05,0.0004162289655719184
left,2,30,0.00010259567046270647,0.0005946128079598835
dinner,1,35,5.129783523135324e-05,0.000693714942619864
love,11,205,0.0005642761875448856,0.004063187521059204
amp,1,88,5.129783523135324e-05,0.0017441975700156582
;,3,766,0.0001538935056940597,0.015182447029909025
're,4,87,0.00020519134092541295,0.001724377143083662
packing,1,1,5.129783523135324e-05,1.9820426931996114e-05
car,1,45,5.129783523135324e-05,0.0008919192119398252
'll,4,229,0.00020519134092541295,0.004538877767427111
let,6,89,0.0003077870113881194,0.0017640179969476543
room,2,38,0.00010259567046270647,0.0007531762234158524
ahhh,1,1,5.129783523135324e-05,1.9820426931996114e-05
work,4,104,0.00020519134092541295,0.002061324400927596
vaguely,1,1,5.129783523135324e-05,1.9820426931996114e-05
wait,3,62,0.0001538935056940597,0.001228866469783759
clear,1,3,5.129783523135324e-05,5.946128079598835e-05
sure,1,71,5.129783523135324e-05,0.001407250312171724
sarcastic,1,2,5.129783523135324e-05,3.964085386399223e-05
x,11,43,0.0005642761875448856,0.0008522783580758329
live,30,17,0.0015389350569405972,0.00033694725784393396
yeah,2,86,0.00010259567046270647,0.0017045567161516658
apologetic,1,1,5.129783523135324e-05,1.9820426931996114e-05
fallen,1,1,5.129783523135324e-05,1.9820426931996114e-05
actin,1,1,5.129783523135324e-05,1.9820426931996114e-05
spoilt,1,1,5.129783523135324e-05,1.9820426931996114e-05
child,5,6,0.0002564891761567662,0.0001189225615919767
caught,1,3,5.129783523135324e-05,5.946128079598835e-05
till,4,21,0.00020519134092541295,0.0004162289655719184
2,6,16,0.0003077870113881194,0.0003171268309119378
wo,4,21,0.00020519134092541295,0.0004162289655719184
badly,1,1,5.129783523135324e-05,1.9820426931996114e-05
cheer,1,10,5.129783523135324e-05,0.00019820426931996116
tell,19,124,0.0009746588693957114,0.002457732939567518
anything,1,75,5.129783523135324e-05,0.0014865320198997087
fear,1,3,5.129783523135324e-05,5.946128079598835e-05
fainting,1,1,5.129783523135324e-05,1.9820426931996114e-05
housework,1,1,5.129783523135324e-05,1.9820426931996114e-05
quick,1,8,5.129783523135324e-05,0.0001585634154559689
cuppa,1,1,5.129783523135324e-05,1.9820426931996114e-05
thanks,15,61,0.0007694675284702986,0.001209046042851763
subscription,5,1,0.0002564891761567662,1.9820426931996114e-05
ringtone,29,1,0.0014876372217092438,1.9820426931996114e-05
uk,25,2,0.001282445880783831,3.964085386399223e-05
charged,12,1,0.0006155740227762388,1.9820426931996114e-05
£5/month,1,1,5.129783523135324e-05,1.9820426931996114e-05
please,54,78,0.002770083102493075,0.001545993300695697
confirm,1,11,5.129783523135324e-05,0.00021802469625195728
replying,6,3,0.0003077870113881194,5.946128079598835e-05
yup,1,43,5.129783523135324e-05,0.0008522783580758329
look,4,35,0.00020519134092541295,0.000693714942619864
timing,1,6,5.129783523135324e-05,0.0001189225615919767
msg,37,65,0.0018980199035600698,0.0012883277505797476
xuhui,1,3,5.129783523135324e-05,5.946128079598835e-05
learn,3,5,0.0001538935056940597,9.910213465998058e-05
2nd,20,10,0.0010259567046270648,0.00019820426931996116
lesson,1,26,5.129783523135324e-05,0.000515331100231899
8am,1,2,5.129783523135324e-05,3.964085386399223e-05
oops,1,10,5.129783523135324e-05,0.00019820426931996116
roommate,1,8,5.129783523135324e-05,0.0001585634154559689
done,5,45,0.0002564891761567662,0.0008919192119398252
see,20,140,0.0010259567046270648,0.002774859770479456
letter,1,8,5.129783523135324e-05,0.0001585634154559689
decide,1,9,5.129783523135324e-05,0.00017838384238796505
hello,5,45,0.0002564891761567662,0.0008919192119398252
saturday,8,9,0.0004103826818508259,0.00017838384238796505
texting,2,5,0.00010259567046270647,9.910213465998058e-05
decided,1,16,5.129783523135324e-05,0.0003171268309119378
tomo,1,19,5.129783523135324e-05,0.0003765881117079262
trying,16,28,0.0008207653637016518,0.0005549719540958912
invite,1,3,5.129783523135324e-05,5.946128079598835e-05
pls,11,115,0.0005642761875448856,0.0022793490971795534
ahead,1,7,5.129783523135324e-05,0.0001387429885239728
watt,1,1,5.129783523135324e-05,1.9820426931996114e-05
wanted,2,26,0.00010259567046270647,0.000515331100231899
weekend,14,27,0.0007181696932389454,0.0005351515271638951
abiola,1,11,5.129783523135324e-05,0.00021802469625195728
forget,3,16,0.0001538935056940597,0.0003171268309119378
need,12,171,0.0006155740227762388,0.0033892930053713356
crave,1,11,5.129783523135324e-05,0.00021802469625195728
sweet,1,38,5.129783523135324e-05,0.0007531762234158524
arabian,1,1,5.129783523135324e-05,1.9820426931996114e-05
steed,1,1,5.129783523135324e-05,1.9820426931996114e-05
mmmmmm,1,2,5.129783523135324e-05,3.964085386399223e-05
yummy,1,3,5.129783523135324e-05,5.946128079598835e-05
rodger,1,1,5.129783523135324e-05,1.9820426931996114e-05
burn,1,3,5.129783523135324e-05,5.946128079598835e-05
=,5,7,0.0002564891761567662,0.0001387429885239728
tried,17,6,0.000872063198933005,0.0001189225615919767
sm,22,20,0.0011285523750897712,0.00039640853863992233
nokia,65,4,0.0033343592900379605,7.928170772798445e-05
+,18,12,0.0009233610341643582,0.0002378451231839534
camcorder,15,1,0.0007694675284702986,1.9820426931996114e-05
delivery,21,2,0.0010772545398584179,3.964085386399223e-05
tomorrow,10,81,0.0005129783523135324,0.0016054545814916854
seeing,1,14,5.129783523135324e-05,0.0002774859770479456
hope,5,107,0.0002564891761567662,0.0021207856817235843
man,2,44,0.00010259567046270647,0.0008720987850078291
well,6,113,0.0003077870113881194,0.002239708243315561
endowed,1,1,5.129783523135324e-05,1.9820426931996114e-05
lt,1,316,5.129783523135324e-05,0.006263254910510772
#,10,281,0.0005129783523135324,0.005569539967890908
gt,1,318,5.129783523135324e-05,0.006302895764374764
inch,1,6,5.129783523135324e-05,0.0001189225615919767
missed,3,23,0.0001538935056940597,0.00045586981943591064
get,85,313,0.004360315994665025,0.006203793629714784
hep,1,1,5.129783523135324e-05,1.9820426931996114e-05
immunisation,1,1,5.129783523135324e-05,1.9820426931996114e-05
nigeria,1,8,5.129783523135324e-05,0.0001585634154559689
fair,1,3,5.129783523135324e-05,5.946128079598835e-05
hopefully,1,5,5.129783523135324e-05,9.910213465998058e-05
tyler,1,6,5.129783523135324e-05,0.0001189225615919767
ca,2,60,0.00010259567046270647,0.001189225615919767
could,8,58,0.0004103826818508259,0.0011495847620557748
maybe,3,29,0.0001538935056940597,0.0005747923810278874
ask,1,88,5.129783523135324e-05,0.0017441975700156582
bit,1,46,5.129783523135324e-05,0.0009117396388718213
stubborn,1,1,5.129783523135324e-05,1.9820426931996114e-05
hospital,1,12,5.129783523135324e-05,0.0002378451231839534
kept,4,4,0.00020519134092541295,7.928170772798445e-05
telling,1,14,5.129783523135324e-05,0.0002774859770479456
weak,1,5,5.129783523135324e-05,9.910213465998058e-05
sucker,1,2,5.129783523135324e-05,3.964085386399223e-05
thinked,1,1,5.129783523135324e-05,1.9820426931996114e-05
saw,1,24,5.129783523135324e-05,0.0004756902463679068
class,3,45,0.0001538935056940597,0.0008919192119398252
gram,1,4,5.129783523135324e-05,7.928170772798445e-05
usually,1,6,5.129783523135324e-05,0.0001189225615919767
run,1,26,5.129783523135324e-05,0.000515331100231899
half,14,25,0.0007181696932389454,0.0004955106732999029
eighth,1,2,5.129783523135324e-05,3.964085386399223e-05
smarter,1,1,5.129783523135324e-05,1.9820426931996114e-05
almost,1,13,5.129783523135324e-05,0.0002576655501159495
whole,1,14,5.129783523135324e-05,0.0002774859770479456
second,1,20,5.129783523135324e-05,0.00039640853863992233
fyi,1,6,5.129783523135324e-05,0.0001189225615919767
ride,1,5,5.129783523135324e-05,9.910213465998058e-05
morning,1,78,5.129783523135324e-05,0.001545993300695697
crashing,1,1,5.129783523135324e-05,1.9820426931996114e-05
place,6,59,0.0003077870113881194,0.0011694051889877708
wow,3,10,0.0001538935056940597,0.00019820426931996116
never,2,43,0.00010259567046270647,0.0008522783580758329
realized,1,3,5.129783523135324e-05,5.946128079598835e-05
embarassed,1,4,5.129783523135324e-05,7.928170772798445e-05
accomodations,1,1,5.129783523135324e-05,1.9820426931996114e-05
thought,2,45,0.00010259567046270647,0.0008919192119398252
liked,1,7,5.129783523135324e-05,0.0001387429885239728
since,3,25,0.0001538935056940597,0.0004955106732999029
best,10,39,0.0005129783523135324,0.0007729966503478485
seemed,1,4,5.129783523135324e-05,7.928170772798445e-05
happy,2,107,0.00010259567046270647,0.0021207856817235843
``,11,126,0.0005642761875448856,0.0024973737934315104
cave,1,1,5.129783523135324e-05,1.9820426931996114e-05
'',12,127,0.0006155740227762388,0.0025171942203635065
sorry,4,156,0.00020519134092541295,0.003091986601391394
give,9,101,0.0004616805170821791,0.0020018631201316078
offered,1,1,5.129783523135324e-05,1.9820426931996114e-05
embarassing,1,1,5.129783523135324e-05,1.9820426931996114e-05
ac,4,1,0.00020519134092541295,1.9820426931996114e-05
sptv,2,1,0.00010259567046270647,1.9820426931996114e-05
new,69,68,0.0035395506309633734,0.0013477890313757358
jersey,1,1,5.129783523135324e-05,1.9820426931996114e-05
devil,1,1,5.129783523135324e-05,1.9820426931996114e-05
detroit,1,2,5.129783523135324e-05,3.964085386399223e-05
red,1,10,5.129783523135324e-05,0.00019820426931996116
wing,1,1,5.129783523135324e-05,1.9820426931996114e-05
play,18,22,0.0009233610341643582,0.00043604939250391456
ice,1,8,5.129783523135324e-05,0.0001585634154559689
hockey,1,2,5.129783523135324e-05,3.964085386399223e-05
correct,4,9,0.00020519134092541295,0.00017838384238796505
incorrect,1,1,5.129783523135324e-05,1.9820426931996114e-05
end,17,36,0.000872063198933005,0.0007135353695518602
mallika,1,1,5.129783523135324e-05,1.9820426931996114e-05
sherawat,1,1,5.129783523135324e-05,1.9820426931996114e-05
yesterday,4,21,0.00020519134092541295,0.0004162289655719184
find,24,51,0.0012311480455524776,0.001010841773531802
@,26,13,0.001333743716015184,0.0002576655501159495
url,1,4,5.129783523135324e-05,7.928170772798445e-05
congrats,10,10,0.0005129783523135324,0.00019820426931996116
year,13,63,0.000666871858007592,0.0012486868967157552
special,11,35,0.0005642761875448856,0.000693714942619864
cinema,3,6,0.0001538935056940597,0.0001189225615919767
pas,5,8,0.0002564891761567662,0.0001585634154559689
suprman,3,1,0.0001538935056940597,1.9820426931996114e-05
matrix3,3,1,0.0001538935056940597,1.9820426931996114e-05
starwars3,3,1,0.0001538935056940597,1.9820426931996114e-05
etc,7,6,0.0003590848466194727,0.0001189225615919767
bx420-ip4-5we,3,1,0.0001538935056940597,1.9820426931996114e-05
150pm,6,1,0.0003077870113881194,1.9820426931996114e-05
later,1,135,5.129783523135324e-05,0.0026757576358194756
meeting,1,43,5.129783523135324e-05,0.0008522783580758329
reached,1,10,5.129783523135324e-05,0.00019820426931996116
gauti,1,1,5.129783523135324e-05,1.9820426931996114e-05
sehwag,1,1,5.129783523135324e-05,1.9820426931996114e-05
odi,1,2,5.129783523135324e-05,3.964085386399223e-05
series,1,4,5.129783523135324e-05,7.928170772798445e-05
pick,3,69,0.0001538935056940597,0.001367609458307732
$,5,19,0.0002564891761567662,0.0003765881117079262
1,5,13,0.0002564891761567662,0.0002576655501159495
burger,3,1,0.0001538935056940597,1.9820426931996114e-05
move,1,13,5.129783523135324e-05,0.0002576655501159495
pain,1,26,5.129783523135324e-05,0.000515331100231899
killing,1,2,5.129783523135324e-05,3.964085386399223e-05
good,13,232,0.000666871858007592,0.004598339048223099
joke,1,11,5.129783523135324e-05,0.00021802469625195728
girl,11,42,0.0005642761875448856,0.0008324579311438368
situation,1,10,5.129783523135324e-05,0.00019820426931996116
seeker,1,1,5.129783523135324e-05,1.9820426931996114e-05
part,11,22,0.0005642761875448856,0.00043604939250391456
checking,1,11,5.129783523135324e-05,0.00021802469625195728
iq,1,4,5.129783523135324e-05,7.928170772798445e-05
took,1,19,5.129783523135324e-05,0.0003765881117079262
forever,1,10,5.129783523135324e-05,0.00019820426931996116
come,6,248,0.0003077870113881194,0.004915465879135036
double,19,5,0.0009746588693957114,9.910213465998058e-05
check,5,34,0.0002564891761567662,0.0006738945156878679
hair,1,24,5.129783523135324e-05,0.0004756902463679068
dresser,1,3,5.129783523135324e-05,5.946128079598835e-05
said,1,89,5.129783523135324e-05,0.0017640179969476543
wun,1,7,5.129783523135324e-05,0.0001387429885239728
cut,1,13,5.129783523135324e-05,0.0002576655501159495
short,1,10,5.129783523135324e-05,0.00019820426931996116
nice,1,58,5.129783523135324e-05,0.0011495847620557748
pleased,3,4,0.0001538935056940597,7.928170772798445e-05
advise,3,1,0.0001538935056940597,1.9820426931996114e-05
following,5,3,0.0002564891761567662,5.946128079598835e-05
recent,3,1,0.0001538935056940597,1.9820426931996114e-05
